x,y,timestamp
1.0665,-6.3852,1757388698.7925608
0.9857,-6.5314,1757388698.8663867
0.9443,-6.6247,1757388698.9207122
0.8964,-6.7531,1757388698.9861054
0.8571,-6.8827,1757388699.0493152
0.8326,-6.9824,1757388699.1090147
0.8067,-7.1175,1757388699.1705241
0.7882,-7.2541,1757388699.2367153
0.7766,-7.3894,1757388699.3047562
0.7706,-7.5275,1757388699.369674
0.7691,-7.6659,1757388699.4382122
0.771,-7.8022,1757388699.5023098
0.7745,-7.9407,1757388699.5718803
0.7776,-8.0792,1757388699.6355176
0.7816,-8.2155,1757388699.7039404
0.7856,-8.3537,1757388699.7758884
0.784,-8.4918,1757388699.8390744
0.7801,-8.628,1757388699.9047449
0.7741,-8.7653,1757388699.9718475
0.7562,-8.8976,1757388700.038508
0.7231,-9.0244,1757388700.1005497
0.675,-9.1485,1757388700.167551
0.6299,-9.2369,1757388700.2222888
0.5579,-9.3486,1757388700.2817216
0.496,-9.4261,1757388700.339141
0.4042,-9.5199,1757388700.3976068
0.3279,-9.5841,1757388700.451838
0.2177,-9.6603,1757388700.512709
0.1304,-9.7094,1757388700.565029
0.0395,-9.7516,1757388700.6167145
-0.0544,-9.7865,1757388700.6675055
-0.1841,-9.8218,1757388700.7258458
-0.2826,-9.8392,1757388700.7938023
-0.382,-9.8485,1757388700.8281226
1.3254,-9.9931,1757388700.8783863
1.3014,-10.0041,1757388700.9350152
1.2655,-10.0197,1757388700.984679
1.1991,-10.0451,1757388701.04408
1.1082,-10.0734,1757388701.1101868
0.9924,-10.0984,1757388701.1798077
0.8967,-10.1104,1757388701.232055
0.7977,-10.115,1757388701.2848642
0.6972,-10.1119,1757388701.338179
0.5642,-10.0971,1757388701.401604
0.4307,-10.0703,1757388701.4587145
0.3326,-10.0429,1757388701.5081146
0.2363,-10.0097,1757388701.558155
0.1419,-9.9708,1757388701.6102057
0.0499,-9.9267,1757388701.6581101
-0.0396,-9.8775,1757388701.7092323
-0.1553,-9.804,1757388701.7755902
-0.2384,-9.7441,1757388701.825911
-0.3185,-9.6803,1757388701.8762348
-0.3952,-9.6126,1757388701.9252028
-0.4684,-9.5409,1757388701.974383
-0.5384,-9.4659,1757388702.0252466
-0.6051,-9.3878,1757388702.0749965
-0.6684,-9.307,1757388702.125823
-0.747,-9.1963,1757388702.1892488
-0.8028,-9.1099,1757388702.2656112
-0.8899,-8.9603,1757388702.3265529
-0.9526,-8.8397,1757388702.3898509
-0.9966,-8.7465,1757388702.440897
-1.0379,-8.6519,1757388702.4897962
-1.0775,-8.5565,1757388702.5410702
-1.1154,-8.4604,1757388702.5919569
-1.1518,-8.3637,1757388702.6401446
-1.1871,-8.2665,1757388702.6917655
-1.2315,-8.1356,1757388702.76023
-1.2616,-8.0369,1757388702.8111682
-1.2891,-7.9374,1757388702.863729
-1.314,-7.8373,1757388702.913691
-1.3374,-7.7366,1757388702.96567
-1.369,-7.6018,1757388703.0266757
-1.3917,-7.5011,1757388703.0753448
-1.412,-7.3999,1757388703.1249619
-1.4315,-7.2984,1757388703.1757736
