x,y,yaw_rad
-2.981700512930663,-0.3308504967338245,-1.4602880424977673
-2.969769930601671,-0.42481355827485545,-1.4287142469843064
-2.9548790170203314,-0.518353156422299,-1.397140451470841
-2.937042615773144,-0.6113760488704565,-1.3655666559573745
-2.9162785065727714,-0.7037895083771061,-1.3339928604439073
-2.8926073875348357,-0.7955014151960357,-1.3024190649304428
-2.8660528545455852,-0.8864203489040097,-1.2708452694169756
-2.8366413777410013,-0.9764556795306356,-1.2392714739035093
-2.804402275120795,-1.0655176579002854,-1.207697678390044
-2.769367683323582,-1.1535175050960325,-1.176123882876578
-2.7315725255923864,-1.240367500956402,-1.1445500873631158
-2.6910544769623908,-1.3259810715167366,-1.1129762918496524
-2.6478539267056407,-1.4102728753080094,-1.0814024963361848
