positions_X,positions_y
1.6717,-2.6332
1.723,-2.8192
1.8033,-2.9945
1.9107,-3.1547
1.8235,-1.2685
1.8646,-1.3352
1.9318,-1.4367
2.0011,-1.5811
2.0357,-1.7449
2.0232,-1.9136
1.9696,-2.085
1.879,-2.2425
1.756,-2.3769
1.6065,-2.4813
1.4379,-2.5507
1.2583,-2.5816
1.8281,-1.2802
1.8575,-1.3656
1.8786,-1.5025
1.8677,-1.6738
1.8344,-1.8252
1.8121,-1.9209
1.8025,-1.9614
1.8025,-1.9611
1.8025,-1.9607
1.8025,-1.9606
1.8025,-1.9605
1.8025,-1.9604
1.8025,-1.9603
1.8025,-1.9603
1.8082,-1.9347
1.8218,-1.8597
1.8356,-1.733
1.8435,-1.6088
1.8474,-1.5408
1.8481,-1.529
1.848,-1.5292
1.848,-1.5294
1.8464,-1.5558
1.8429,-1.6337
1.8462,-1.7595
1.8782,-1.9254
1.9746,-2.1107
2.1626,-2.2768
2.4389,-2.3831
2.7783,-2.403
3.1049,-2.3518
3.3612,-2.301
3.5576,-2.2668
3.6944,-2.2564
3.7716,-2.2599
3.7954,-2.2633
3.7699,-2.2602
3.5993,-2.2575
3.4334,-2.2732
3.2716,-2.2935
3.1669,-2.3069
3.0669,-2.3218
2.9697,-2.3392
2.9285,-2.3467
2.9287,-2.3468
2.929,-2.3467
2.9291,-2.3467
2.9292,-2.3467
2.9293,-2.3467
2.9293,-2.3467
2.9036,-2.3516
2.8293,-2.3688
2.7156,-2.4101
2.5697,-2.4983
2.4046,-2.6436
2.2594,-2.8017
2.1564,-2.9188
2.0666,-3.0209
2.0642,-3.024
2.1115,-2.9687
2.1671,-2.8914
2.2304,-2.7593
2.2677,-2.5654
2.2616,-2.3165
2.2219,-2.0573
2.1588,-1.7063
2.138,-1.5901
2.1246,-1.5152
2.1246,-1.5157
2.1246,-1.516
2.12,-1.4905
2.0763,-1.3265
2.0223,-1.1742
1.9731,-1.0396
1.9435,-0.9584
1.9339,-0.9321
1.9341,-0.9327
1.9342,-0.9329
1.9342,-0.933
1.9342,-0.933
1.9342,-0.933
1.9342,-0.9331
1.9342,-0.9331
1.9024,-0.8513
1.8577,-0.7441
1.7865,-0.5862
1.7006,-0.4092
1.6099,-0.2316
1.5169,-0.055
1.4228,0.1209
1.3291,0.2969
1.2377,0.4741
1.0771,0.8061
0.9967,0.9884
0.9226,1.1734
0.8549,1.3607
0.794,1.5504
0.7401,1.7422
0.6939,1.9359
0.6551,2.1313
0.6032,2.486
0.576,2.8235
0.5714,3.0086
0.5818,3.3609
0.5975,3.5555
0.6213,3.7532
0.6536,3.9497
0.6946,4.1444
0.7451,4.3369
0.8053,4.5265
0.8754,4.7125
0.9568,4.8937
1.0498,5.0691
1.1547,5.2375
1.2716,5.3977
1.4002,5.5486
1.5399,5.6892
1.6897,5.8194
1.848,5.9395
2.0125,6.0516
2.1802,6.1594
2.3483,6.2664
2.5132,6.3779
2.6718,6.4978
2.8226,6.627
2.9638,6.7663
3.094,6.9157
3.2978,7.2104
3.388,7.3796
3.4633,7.5618
3.5579,7.9052
3.5869,8.0985
3.5963,8.2954
3.5852,8.4919
3.5085,8.8377
3.4343,9.0125
3.2311,9.2774
2.953,9.4523
2.7773,9.5441
1.8158,-1.2515
1.8393,-1.3067
1.8682,-1.4089
1.8758,-1.5608
1.8441,-1.7315
1.7762,-1.912
1.7062,-2.0958
1.6659,-2.2823
1.6585,-2.474
1.6828,-2.6649
1.7377,-2.8496
1.8215,-3.0232
1.9321,-3.1811
1.8289,-1.2784
1.8768,-1.3517
1.9566,-1.4555
2.0449,-1.5994
2.1056,-1.7669
2.1248,-1.9427
2.118,-2.1375
2.108,-2.3362
2.095,-2.5352
2.079,-2.7339
2.0599,-2.9324
2.0378,-3.1305
1.8277,-1.2776
